Codes,All_ages,0-15,16-29,30-44,45-64,65+,Working-age,pop_dens,p_lone_house,p_one_house,p_notuk,p_social_rent,p_private_rent,p_apt,house_median,p_parent_unemp,p_emp,p_unemp,p_edu_0,p_edu_1,p_edu_2,p_edu_app,p_edu_3,p_edu_4,p_edu_other,p_act_0,p_act_1,p_act_2,p_healthy,p_healthok,p_unhealth,p_cars_0,p_cars_1,p_cars_2,p_cars_3,p_cars_4,p_ptal_0,p_ptal_2,p_ptal_4,med_income
E01000027,1709,468,318,351,340,232,1009,11.6,24.5,27.3,15.3,45.4,8.0,24.5,182500,54.8,56.4,11.3,34.6,18.0,14.7,2.4,9.1,14.3,6.9,9.9,9.2,80.9,78.2,15.6,6.3,34.5,42.6,19.2,2.8,0.9,69.2,30.8,0.0,27194
E01000028,1549,416,320,324,269,220,913,107.7,24.8,32.2,30.4,52.3,13.4,51.5,150000,54.8,50.1,14.2,31.1,14.7,15.2,1.6,9.5,20.5,7.5,11.6,9.6,78.8,77.2,13.8,9.0,43.6,41.2,13.2,1.5,0.5,100.0,0.0,0.0,26306
E01000029,1602,288,244,300,325,445,869,62.4,11.4,32.5,27.0,8.0,9.3,17.9,231000,42.2,58.0,7.4,33.3,12.7,12.4,3.5,9.4,20.7,7.9,12.2,12.1,75.7,73.8,18.7,7.5,27.0,49.4,19.4,3.3,0.9,87.1,12.9,0.0,36508
E01000030,1915,579,395,413,324,204,1132,66.9,27.1,28.3,23.6,60.6,9.4,59.9,176500,61.2,53.6,14.1,30.2,17.4,14.1,1.8,10.0,17.4,9.0,8.6,9.3,82.1,78.7,14.6,6.7,44.9,41.6,11.2,2.1,0.3,63.6,36.4,0.0,25149
E01000031,1617,353,290,332,411,231,1033,19.2,13.2,26.6,28.1,5.4,14.4,19.9,223750,52.9,60.6,8.1,19.6,16.5,16.6,2.2,10.4,24.9,9.7,8.0,9.3,82.7,80.6,14.4,4.9,25.6,44.0,22.6,6.5,1.3,28.2,71.8,0.0,40711
E01000032,1629,352,329,352,364,232,1045,43.4,15.8,28.7,25.2,15.4,20.9,29.3,216000,52.2,59.9,10.0,26.0,16.3,16.4,1.9,11.4,19.2,8.8,8.8,8.0,83.2,79.2,14.2,6.6,29.6,47.9,17.4,3.8,1.3,46.6,52.3,1.1,34137
E01000110,1416,295,269,299,358,195,926,72.8,14.0,18.4,23.9,2.6,14.4,11.4,212000,33.3,62.8,7.3,22.0,13.7,19.0,2.1,9.7,26.2,7.2,7.6,8.8,83.6,81.1,13.8,5.0,19.2,48.5,26.5,5.0,0.8,29.8,70.2,0.0,44667
E01000111,1833,439,374,405,372,243,1151,61.8,17.1,30.7,25.5,30.1,16.9,48.1,174000,51.7,57.3,10.3,28.5,15.5,13.9,2.4,10.1,20.1,9.5,8.0,8.3,83.6,81.9,12.9,5.1,36.9,45.5,14.2,2.6,0.8,54.5,45.5,0.0,29434
E01000112,1871,404,414,473,374,206,1261,67.4,16.5,28.8,33.2,7.6,30.7,46.3,185000,46.6,62.3,9.0,22.1,14.6,14.9,2.0,12.3,24.7,9.5,7.5,6.7,85.8,82.7,12.3,4.9,35.6,44.7,14.9,3.9,0.9,0.0,92.2,7.8,34638
E01000113,1679,404,283,439,380,173,1102,109.1,14.7,26.7,33.2,4.4,29.9,26.8,204500,52.3,61.9,9.6,18.0,16.4,14.9,2.4,11.0,26.1,11.1,7.3,7.6,85.1,83.7,11.7,4.6,35.9,44.5,15.6,3.0,0.9,0.0,79.9,20.1,35963
